,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2022-04-01,113.34697222222223,114.36745833333335,112.07159722222222,116.19754166666667,114.69068055555555,106.67747222222222,124.54225,105.046625,117.89766666666668,114.34305555555555,120.30313888888888,116.57443055555555,112.82336111111113,105.977125,116.01311111111112,116.81304166666666,116.00155555555556,109.333375,123.68015277777779,114.60869444444444,114.79904166666667,108.60445833333334,113.30108333333334,117.26979166666666,112.09562500000001,109.69756944444444,115.87774999999999,113.67609722222221,103.03655555555557,110.42131944444445
Germany,2022-05-01,107.8617876344086,107.1485752688172,96.3170430107527,101.95505376344086,104.37418010752688,106.88633064516128,107.52634408602151,103.56006720430108,103.44456989247311,103.55692204301076,101.67779569892473,102.45926075268818,102.69349462365592,102.6158870967742,106.58833333333334,103.33059139784947,92.98295698924733,98.12903225806451,104.58698924731183,100.01227150537635,110.61053763440862,98.98583333333335,101.66067204301075,106.09106182795699,103.36329301075268,99.28525537634408,100.2732930107527,107.27524193548388,100.00141129032258,104.81618279569894
Germany,2022-06-01,107.79127777777778,98.73712499999999,104.50868055555556,103.19120833333334,95.10444444444444,105.70079166666667,103.70425,102.14570833333333,103.15047222222222,103.94805555555557,101.03506944444445,103.1215,100.67661111111111,104.13390277777778,98.14797222222221,104.33795833333333,106.32477777777777,103.32236111111112,103.65534722222223,100.9684861111111,102.96225000000001,103.23209722222222,100.00043055555555,99.30022222222223,106.67268055555556,102.74890277777779,105.80040277777776,98.35040277777777,102.69211111111112,102.68834722222222
Germany,2022-07-01,96.53803763440861,104.46102150537635,107.74193548387096,99.20752688172043,113.01198924731183,110.0091129032258,100.98686827956989,110.01184139784947,99.9625,106.64861559139784,106.8690188172043,105.84095430107527,103.7802688172043,108.52067204301076,105.70357526881722,106.46266129032259,112.46248655913978,95.55831989247312,103.1888306451613,102.29232526881721,108.13614247311827,101.04047043010753,103.33040322580646,108.66360215053764,107.4423252688172,101.51684139784946,103.50836021505377,106.94736559139784,112.21256720430107,106.96387096774193
Germany,2022-08-01,105.77295698924732,108.12077956989248,100.35344086021506,104.81606182795699,105.20418010752688,109.11373655913978,108.56034946236558,113.91450268817204,102.75924731182796,109.21439516129031,111.82271505376345,105.69310483870967,113.08677419354838,110.75418010752688,104.79130376344085,106.98256720430108,106.2999059139785,105.43665322580645,101.0459005376344,106.71237903225806,104.33293010752688,105.98326612903226,109.19450268817205,110.0190994623656,103.45567204301076,110.31899193548388,105.68092741935484,108.4731317204301,110.64586021505377,108.6832123655914
Germany,2022-09-01,103.91431944444444,107.58938888888889,104.55065277777778,110.1570138888889,105.10277777777777,105.31197222222221,108.84301388888889,108.97390277777778,106.86508333333333,108.17643055555556,108.66131944444443,105.59290277777778,113.48952777777778,110.948375,98.023875,111.68950000000001,105.90479166666667,104.22916666666667,110.46787499999999,105.67037499999999,105.67465277777778,105.47149999999999,104.59626388888888,109.78245833333332,113.12945833333335,108.09276388888888,112.62159722222222,106.45448611111111,106.03186111111111,103.63608333333333
Germany,2022-10-01,105.29452956989248,133.10145161290322,133.1622311827957,156.25658602150537,112.53979838709678,116.34879032258064,118.03875000000001,117.25962365591398,100.85482526881721,105.66821236559139,112.05541666666666,104.96563172043012,108.76932795698926,141.65591397849462,116.93181451612904,108.98797043010754,106.52923387096774,148.32529569892475,111.61475806451614,128.53763440860214,111.3711559139785,108.34193548387096,116.9040188172043,104.48095430107527,112.61303763440861,156.3575806451613,133.86092741935482,102.60022849462366,114.58649193548388,109.28462365591398
Germany,2022-11-01,166.96345833333334,143.61269444444446,113.01597222222222,216.5317083333333,130.0806388888889,147.38441666666665,170.5695138888889,140.520875,221.31993055555557,175.39875,114.49313888888888,145.62529166666667,134.36304166666667,125.17209722222222,146.74270833333333,172.60344444444445,108.60552777777777,139.69869444444444,148.09276388888887,123.84731944444445,143.54541666666665,143.59368055555555,139.2878611111111,130.89862499999998,120.45866666666667,116.02211111111112,137.4297222222222,143.92180555555555,142.0811388888889,139.27980555555555
Germany,2022-12-01,214.77075268817205,234.73744623655915,124.29602150537634,110.1943817204301,110.17447580645161,213.76360215053762,248.97813172043013,121.28923387096775,139.74631720430108,113.16498655913979,111.84709677419356,205.15689516129035,119.95567204301076,130.99104838709678,254.30504032258065,154.73771505376345,110.82426075268818,209.6675940860215,170.28331989247312,236.6504301075269,219.4521505376344,99.87389784946235,175.26194892473117,108.35418010752687,126.68552419354839,109.94852150537633,157.41883064516128,130.99809139784946,131.33388440860216,108.19506720430108
Great Britain,2021-12-01,284.9591129032258,234.27467741935482,203.37708333333333,190.15403225806452,186.27567204301076,245.51098118279572,231.42291666666665,198.51293010752687,214.86682795698925,192.050873655914,188.1521505376344,242.48282258064518,215.02985215053764,196.23967741935485,228.62271505376341,204.4513575268817,189.55993279569893,203.9466666666667,222.00041666666667,236.52892473118277,321.51986559139783,183.09283602150538,288.88631720430106,184.26637096774192,191.63280913978494,188.9743010752688,208.23673387096775,195.3818682795699,197.23262096774195,192.59696236559142
Great Britain,2022-01-01,191.7909677419355,304.432809139785,306.62440860215054,188.97092741935484,199.18642473118283,198.8376075268817,217.12532258064516,388.2513172043011,240.39432795698926,222.4409946236559,259.9283198924731,388.260497311828,238.49033602150539,260.35841397849464,208.9824327956989,187.94987903225805,262.6714247311828,188.24344086021506,192.9054435483871,311.86041666666665,341.5174193548387,234.62520161290323,219.09270161290323,313.80845430107524,196.03288978494624,249.5109946236559,257.17603494623654,342.73176075268816,215.66600806451615,270.4069086021505
Great Britain,2022-02-01,163.31568452380952,270.7407738095238,215.7607142857143,226.0784672619048,208.0417113095238,181.81866071428573,236.05782738095235,183.1772023809524,203.77778273809525,196.56619047619049,185.25813988095237,205.09002976190476,176.12702380952382,210.42738095238096,200.02598214285712,204.22568452380952,300.245505952381,203.1461755952381,197.47752976190475,209.00358630952383,236.19802083333335,197.6384375,309.69778273809527,228.88925595238092,180.8308779761905,206.39168154761904,195.20145833333333,191.77431547619048,206.9441666666667,199.5661607142857
Great Britain,2022-03-01,161.84823687752356,179.98193808882905,168.2785733512786,178.93970390309556,157.88549798115747,176.78479811574698,188.0891722745626,173.6036271870794,176.71874831763122,180.02304845222073,179.24248990578735,182.03226783310902,175.4405720053836,184.95740242261104,180.75967698519517,182.83790713324362,179.2677187079408,171.34730148048453,166.67726783310903,183.08653432032304,182.54536339165543,192.01832436069986,185.86689771197848,189.43063257065947,171.6592462987887,174.3478936742934,184.7592462987887,182.42960969044415,181.9613593539704,167.57038358008074
Great Britain,2022-04-01,127.13375,119.75550000000001,131.35715277777777,139.07920833333333,128.65031944444445,131.63405555555556,135.27843055555556,131.59206944444443,126.40669444444444,126.27281944444444,142.60775,125.53636111111112,124.72874999999999,133.8581111111111,126.95252777777779,125.5163888888889,126.88423611111111,129.91525,127.95044444444443,135.58154166666668,131.88995833333334,125.54009722222222,129.01383333333334,128.71429166666667,129.51818055555555,133.71048611111112,133.41658333333334,125.81779166666666,173.18806944444444,130.92115277777776
Great Britain,2022-05-01,128.156438172043,119.71012096774194,105.99583333333332,109.12211021505377,122.59146505376344,116.13224462365591,116.49313172043011,120.64427419354838,115.61072580645163,109.01577956989249,122.56638440860215,117.39595430107526,108.01442204301075,122.44681451612902,127.82869623655914,113.0604569892473,117.41630376344085,115.72505376344087,111.0463440860215,105.62146505376343,124.39572580645161,102.05681451612904,119.55567204301074,108.25997311827956,120.57817204301075,106.0770430107527,114.34969086021505,114.99916666666667,115.10665322580645,115.61094086021504
