,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark (East),2022-08-01,94.24579509853851,103.0498853758238,89.2497647717211,96.17662681247715,86.01022568063115,103.20072827012201,101.62956416026306,105.96306009446968,89.54787603184585,103.56928112057513,105.79238719380292,87.55718180068023,107.73343880854216,90.15664377870108,97.35359047765706,101.57255367818577,96.05463659066433,95.62157885097149,86.49298294130028,96.2552601552927,97.64036328341652,94.71501805429148,99.79734933420278,99.0052086919249,93.72237098874486,97.70010525944187,96.3893096960226,97.67897652848303,101.01309051647031,101.75139178115951
Denmark (East),2022-09-01,99.30876020005938,101.37270242830698,101.16098570745905,103.56162560131223,101.29542042956373,100.40921364041596,105.08031296108625,104.11796306199149,101.75694210256648,104.2024680527013,103.18957801400454,101.85641161408351,105.8490792260803,105.08564813483981,101.48429094094013,105.13293631077069,101.46942078396911,101.64090113206917,102.8268542979473,102.49865179858958,102.82515524820253,102.17313958757939,103.19019125379862,107.29299071895747,105.01954621556392,100.79389332690135,101.9495453770206,99.9983706828085,99.57854427418663,97.67790319527639
Denmark (East),2022-10-01,90.18495136644563,92.60489746692026,99.83297931166236,93.91598299855994,92.7546283303266,95.93737218899538,94.54641073089084,89.81815691755111,84.46144992224806,85.02259464722168,90.61694171963428,86.58848801308422,92.81796430320377,109.9719288858623,92.30007754735165,91.80830027425037,90.44163120441247,118.54146379207924,90.75104031867258,96.36760604835034,86.48848567484461,90.57792770106042,93.44066333373979,87.56976208094312,95.3852802344523,114.71741454289254,91.87095114672184,85.91423745369727,88.087174633581,92.07144582164943
Denmark (East),2022-11-01,115.75482910609342,106.80511372131208,91.71211816226901,147.4618372328134,96.78328633294966,110.79566951640118,113.87643192019168,105.48010058530875,169.22381254854312,108.58849439669935,94.98093819362217,110.30259626348032,117.04851364324878,107.16940199505456,103.49747689504267,117.64857607508829,90.92653718245124,106.93101963265237,109.88155553783317,98.05787868225453,102.92190003686976,109.00158295985662,104.48154886866787,99.73330572966643,104.30783754398021,90.49344561419423,108.17153279033988,102.8911176145986,110.1651905493717,108.23797198790623
Denmark (East),2022-12-01,116.08596226902958,114.15473452426252,107.80360301513429,95.45264233742101,85.80966221266299,148.6403389417134,138.39607068771102,96.15505728576842,98.82243003575194,90.7921416321042,101.89847494105494,137.67446337177586,108.08850223718491,103.4427716706408,149.522829202836,113.33709439543561,95.12121391474263,107.30839419090215,130.68577555480397,157.24930696431935,146.76225917051636,90.19058078303355,107.09619353848784,91.58500176544767,99.82385258705045,92.0472473101616,100.05994706689009,98.7919101651192,106.88528827742837,99.1635310358083
Denmark (West),2021-12-01,132.9692345192508,128.44435233587387,149.64849228096728,123.42061454933173,114.10922150121348,162.59703252037255,161.1390639979826,133.51973830872288,129.54418529232512,118.78481901598144,146.23640226138227,141.11868679779616,154.32685319613617,129.4568025848853,149.75540727681297,145.5206046308725,133.58867710843833,127.24496533530551,147.65163441830384,157.91830780581407,152.05015066869484,113.60973907143538,130.2676207054336,123.02834867867301,126.14575238428692,118.81349633521258,132.85498930077458,124.45866896004948,133.91661666396396,139.77050382126959
Denmark (West),2022-01-01,154.40351485103656,200.9915052356565,204.93083288446655,133.28385619729895,155.57920889898963,156.02581563398405,177.4835411670983,291.8825548607635,173.08941756575058,164.0346741739161,173.02513961997667,217.3354881836384,168.8935838735127,198.78819966510073,181.7722328321281,138.37919838860506,224.7919884542119,129.25491735382423,148.66273367435275,207.87843777796354,292.66853650036927,205.64188994434832,151.64097059463452,206.90875374806842,161.84560457276328,145.7966320821516,178.14072209262818,334.69074665624265,140.15239937406776,186.74036622519006
Denmark (West),2022-02-01,122.28522318037597,206.69700375577384,180.39907115477158,180.8475500238221,167.53508105279013,133.4924612348329,172.38074605997875,133.96861349275125,165.47566767556992,162.56472743253494,145.64751156411893,161.69494565525807,121.52239363519902,222.40137834847405,154.85560702097007,174.9802437392251,255.00987234168812,165.42134219002048,150.73528782032201,183.76875955490004,184.84749495230972,162.83325965309,199.74269097865198,198.99731597078897,143.48584234269907,178.9181750875802,146.88192075052464,152.65197015564485,192.15810143588064,164.3893276563599
Denmark (West),2022-03-01,116.89576593848996,142.071864013422,128.94501314600998,130.046389706611,115.87486560329504,116.25550695920022,149.51493505630864,129.6047045961734,130.16980342564946,148.71341191721945,131.97560334168975,148.17959200008139,133.23945010553462,149.3495209407818,138.96810405950097,142.22885496811006,143.8764160739361,125.76895318847065,121.30284855007152,144.11243717531516,140.3303810174324,140.21576765753875,138.14782748547745,149.2364579796035,125.59281860470765,140.27348567314226,148.0913715277992,139.48454321698912,143.36445095588059,112.71448765436693
Denmark (West),2022-04-01,107.30769636885645,105.33011270322716,100.74394255643536,109.26250425434529,105.03434745933794,100.14832654986621,121.23902813689679,92.40240533760402,108.00563103016721,107.34877970289867,116.58844749630033,111.51096026812377,97.20732550805512,104.83719613415063,104.33515309321702,115.89720542800686,111.5481061802017,102.3356213743316,119.15162034575593,111.65229339591708,109.24568053002452,105.9627364160585,101.59443767004161,100.94226828221885,103.88315743945495,100.60311966891018,109.21647795584096,104.99525199561288,94.13427544319438,96.24052964907673
Denmark (West),2022-05-01,100.90822247384718,91.32663590835847,91.0768883485829,99.46881986561496,95.07954263657345,101.27212611209427,100.25919223680648,98.87057790505595,100.15329893366348,98.89124890699239,89.35968298753772,94.073569145051,93.0857389076403,92.12710428649902,95.94086654410101,100.3774406383675,86.56267706787267,90.52076633544651,93.1380644464602,91.84844618864176,104.18798672915364,88.3260725558835,96.10162932758936,98.31416727535742,98.01754815152327,93.57370187131177,95.7239390304219,103.51425518183515,99.05389056196289,102.21151900952448
Denmark (West),2022-06-01,106.60832331343222,90.74971559858056,100.37934995633142,99.80301092036666,87.91272261294458,102.10997117515775,98.20406186852816,96.56625686950558,98.4251275927902,101.74273305772694,99.42812542919778,98.77142595042429,95.28429211593222,93.91904830172385,91.96630280969673,99.9819078854473,103.9053578644531,100.54806537971258,95.55296701534895,89.42354719064588,95.98887052292949,104.09444704680088,94.30318516321435,94.86470649709861,97.42083248523426,98.71227888357463,104.21371049999132,87.85230785893509,97.90467022030452,97.02144416206981
Denmark (West),2022-07-01,87.78650721652393,95.21013427824485,97.96702048317962,89.89517756807241,111.38424832356428,102.6781554991515,91.18192432016953,105.28411203102728,90.10509886619737,101.94866477332303,101.80813969651633,100.68526906206192,91.61130215313142,105.86651489545783,101.50468426205275,93.72968979339315,108.6601550367047,85.90538422475329,101.23505720025238,89.57088879266247,98.19317143015397,91.5350277075416,93.5715434246677,100.05278057716723,102.50962429489702,87.23617051414925,95.30197677071615,96.77746249633206,106.74616944801824,95.92879641765202
Denmark (West),2022-08-01,98.34920561419236,105.98759561468314,93.44505892627912,100.91965859444947,88.82911725315772,103.55964029211343,103.96699258860669,108.315180619631,96.50255563734864,105.30738419696628,108.42796169287011,93.46044567313501,108.63416652635529,93.33261378272174,98.68253869241643,103.36870927766311,101.78466563126706,98.46042103461352,88.12026776574713,99.04956396533672,98.94548710608504,97.16655657107802,105.45489949415996,104.69424837939029,96.98572189363918,104.06605362369194,98.88637910328862,102.31909640817929,107.52992350249461,104.4438565481541
